gene,d5_mean,d14_mean,d28_mean
0,69.34339592,64.19717112,68.56952439
Echdc1,76.25198829,75.47444679,75.68986999
Tars,97.62043629,93.51001663,92.60625396
Idh2,66.58130611,65.56085216,66.44456295
Large,59.78115682,61.08990467,61.70830871
0,57.90246504,55.17265585,59.36534913
Ttc36,72.14340203,74.8847919,72.09698077
Sh3tc2,67.49387914,67.76607169,74.13833985
Fam81a,57.56207302,59.33043305,59.44749512
0,63.22047113,62.27638383,60.17090909
0,70.02719287,69.74751159,69.52144929
0,63.82341761,62.11564818,62.26008577
Tm7sf2,62.45845341,62.2901188,71.47322394
Fam89a,58.78787989,56.8392126,56.38128477
Mpzl2,57.96315967,58.41324132,54.05703263
Nicn1,232.8118733,249.6675057,260.8893742
0,67.70872421,67.65328481,62.94632936
0,63.98876564,68.30689009,70.49672646
Tmem98,158.0707962,319.8028974,339.4742339
0,65.69569972,64.75522435,63.52207325
0,61.24918037,57.82550893,59.3124355
0,59.80031895,55.18074635,57.4269421
0,65.87162138,61.61331254,62.19443527
Ahcyl2,66.84505852,69.5188307,69.58456582
0,62.21779329,57.37296149,61.28123742
Rin2,69.70861173,75.94313922,64.60128611
0,132.9530279,162.4406717,169.8851569
0,67.00278081,67.90040539,68.63276006
Tpst2,431.6960522,413.8493349,452.4978379
Ahsa1,59.83922059,63.06998786,59.32936434
Jade1,56.48335867,61.22722204,58.83129548
Kcnk5,61.09241192,61.2210199,61.58350806
Traf3,64.49061412,61.66530765,64.14844799
Cdc34,65.0444983,62.87226348,65.02744833
0,65.41819343,67.9269914,63.21222945
Hsph1,63.37335691,61.66955729,66.17246583
0,75.08080303,72.5123559,78.58557281
Tmem150c,62.81354331,60.96266686,62.30942356
Bloc1s5,60.11598628,60.30392698,61.16227746
Reep5,69.8173558,70.94472578,70.41693253
0,67.76633283,63.95314862,68.16689082
Foxa2,65.46570456,61.57042753,59.36958443
0,65.48998151,61.70112331,62.79285571
0,63.62305497,64.6843924,64.09209993
0,111.9432468,130.1915843,145.7130185
0,64.62466338,61.58380732,63.8595655
Nipsnap3b,1410.427498,945.3005847,598.0511005
Aqp9,257.195137,263.3235267,290.8240025
Bcam,122.436393,118.5998502,113.583589
Copb1,1063.823856,925.2974095,874.3576888
Ilk,761.7384509,823.4854186,768.9721159
Eif2b5,1433.263992,1461.358713,1457.244591
Ghsr,94.82007653,95.14369768,89.89063815
Drc7,99.82141791,103.5609824,94.58337727
Mcm5,94.77874131,95.40613568,79.66569395
0,176.2666385,159.5270071,156.8113567
Psmb10,964.4090702,745.8092913,658.7527367
Aprt,12048.95087,13031.36394,11343.47176
Dclre1a,269.7331754,274.5878911,255.5776436
0,108.1532967,104.908973,103.7714656
0,94.18447272,92.41626211,91.61808944
Ccdc153,97.88791486,105.1665183,95.70333202
Pms2,193.0927958,184.894571,185.9444135
Rbx1,4216.111508,3784.586585,3960.06785
0,85.75723633,89.04080643,87.93226476
0,146.1892116,141.1061703,138.7919635
0,5730.67955,5754.354262,5325.339581
0,99.46403655,96.84393942,95.42442147
0,121.2797531,113.3822304,110.9293094
Med6,188.4627512,197.4906211,186.2113791
Zdhhc22,94.62097106,95.76114451,99.59855898
Il17rb,87.27980296,92.4790437,85.93308251
Sidt1,84.79079263,86.03655877,84.00435617
0,110.862649,110.8025085,102.9413649
Rars,487.4149414,381.5062117,312.0999939
0,96.71996101,98.19183992,93.23471143
Cldn17,127.9983819,126.2488958,118.7658252
0,116.0525701,109.9093224,103.8342815
Ulk2,107.4951054,105.1311358,96.11152249
Prosc,103.27002,102.3848011,93.26192401
Ctc1,97.88210915,101.4484116,97.40231066
0,92.18678964,90.23766721,87.5133726
Cdc16,739.0626346,725.8579311,653.9364116
Unc45b,97.79602269,99.03282382,89.47077394
Mmp28,82.78024199,82.84357063,86.08436802
Axl,126.4511831,163.4114815,124.8446712
Akap13,177.854608,152.1941815,151.6528712
0,95.68595871,95.77733557,92.10813609
St5,106.4393629,112.1960821,114.7910207
Piezo2,97.10829545,99.46432745,94.99479803
Trem1,196.8876115,106.0651208,90.93160282
Irx1,90.38711147,91.63778553,85.35271897
Pdcd1lg2,96.40519931,93.38881836,93.80825788
LOC306766,105.3901823,109.4666575,95.34321282
Rev1,648.2747468,626.7460604,558.6288997
Nck2,85.54024675,92.48623501,88.27944855
Chuk,96.25249791,98.76040755,91.54055202
0,86.06518267,88.02009375,84.57869304
Actr1a,1094.068574,1258.487709,1364.381077
Gbf1,93.85277233,90.02228758,82.27987386
Fsd1,210.9503258,208.9472772,325.9186352
Prkag3,92.34316027,93.36540819,86.48070922
Snrpd1,90.70120215,93.99390477,89.02310228
Espnl,102.992174,95.67102721,91.84468412
Map1b,150.2404456,136.205491,173.8926479
0,107.0209506,112.2921241,104.4780707
0,86.1730856,89.08202799,81.08652096
Ddx42,112.657813,110.8827137,101.7657844
Spry1,95.57405465,99.35256567,99.66829699
Pgs1,175.3209107,154.2395377,137.5388104
Ppp1r27,85.34550112,90.98473758,87.47143333
Schip1,892.4021345,1542.199886,2615.525984
Gsx1,89.61222651,90.5659365,85.64948807
Rab25,105.3234723,101.5887177,96.60713089
0,107.6191983,108.6927296,101.1600767
Adamtsl4,105.1914779,104.3876098,101.375893
40787,102.9545518,108.3099841,100.3263912
0,86.77668284,90.64751199,85.18546461
Kcna10,80.53189432,86.23078121,80.72892221
0,101.1403189,103.9821192,104.3621458
0,1624.294864,1438.717995,1301.832933
Osbp2,93.99761159,97.20093913,95.74039327
0,89.33208384,87.70337708,84.03117977
0,85.37553097,87.51896694,85.9880243
Cstl1,92.23571661,93.77430877,92.29936615
Ndrg3,290.884995,288.2043143,360.727993
Cpne5,104.7526395,103.8626267,101.5868087
Mocs3,96.39892302,95.9968358,93.09276444
0,91.8661787,98.85692777,94.41197042
Nodal,95.46027939,94.21157592,96.22599061
Sec63,93.85585153,96.51424052,88.05640541
Msl3,174.7078279,149.2987412,132.6948087
Chchd3,530.5137985,534.2060146,490.9479096
Gpr101,88.3212825,91.58255525,88.98184897
Mtm1,84.88386125,89.38366005,82.92542267
Kdm5b,101.7596169,101.573968,104.8714219
Leprel2,496.6744419,533.6483209,545.6448799
Cyp2j10,104.3656738,110.0610274,125.4165708
Dock11,96.30946719,96.70635916,94.65924672
0,150.1582159,146.3612667,139.0635649
Tal1,93.11616185,93.04922621,88.74301109
Tie1,218.0316906,161.933321,129.636383
Exo5,425.4464127,314.1528518,229.9019562
Hs1bp3,97.74112121,101.5393084,96.07181631
Myf5,82.96885963,89.6979379,85.43203341
Rgl3,87.05827947,92.12315739,84.41289195
Cib2,107.1825937,106.6699943,105.0432812
Rtp3,94.39858124,98.11005882,92.56052929
Cdcp1,118.7928507,113.7718776,109.7463842
0,252.0974287,256.1361133,223.8328005
Klk13,98.19767191,103.8360722,98.1066258
Ntn5,97.44001105,97.69623879,92.19322738
Brd7,680.8175383,598.5758598,537.7338414
0,94.08540911,94.42273066,91.39355417
Skiv2l2,423.9853061,428.9210531,361.9710063
Slc38a11,87.47281107,93.32191123,87.97812573
Impdh1,297.4732486,243.6462722,220.1601897
Epb42,100.5598251,110.6325858,100.7664847
Il21,83.60563241,83.31829245,88.86420189
0,95.11470838,96.30573145,95.66812624
Anp32e,308.2584888,254.9471871,222.749593
Dram2,279.8243166,190.3487832,155.386577
0,87.87676472,91.29436695,84.08168964
0,89.31205067,97.16953753,87.61366132
0,20010.00499,20887.12176,21864.75292
0,117.4632793,110.2222643,109.504949
Mier2,90.64544278,95.70090786,88.75856804
0,119.7091063,117.0752782,117.2169426
0,355.8114295,251.8473078,214.3473009
Snx6,98.78361096,92.82729001,89.37697477
0,121.7377874,119.4519397,119.6926991
0,102.5275123,102.9999201,96.91163661
0,122.4211135,128.407592,116.0066027
0,106.5320412,102.1890993,100.7498774
Alg6,87.53280834,92.51615441,87.56150456
0,103.0034549,102.8912473,100.1430494
Lsm10,282.1597168,252.5189945,215.1367226
Ncor2,121.2934082,113.8500229,116.4046623
0,95.50957803,102.03933,96.44915759
Ppp1r1b,166.072445,189.3769926,532.3927779
Nup153,783.7202542,695.6317392,697.9599043
0,725.7511339,705.942333,647.1533147
Slc25a30,121.8823137,115.5983252,106.5659703
0,363.1397091,361.0922017,338.7675071
Cnot11,102.4696771,105.3179947,101.0220182
Vom2r70,97.01590021,96.05097125,87.65192518
Cul2,94.38379175,94.68857002,88.6361316
0,116.4147942,110.0530091,109.6700568
0,98.62777428,97.58369557,97.52288634
0,80.72006335,83.82317555,81.87751844
0,84.00628481,88.85486917,81.38908379
0,97.78881398,98.51375884,94.22242013
0,125.4497936,129.3934457,123.5648497
Fech,114.4507454,116.1352294,110.4883268
0,94.68218067,102.5711459,92.27781529
Rbm25,1637.208581,1639.259354,1472.306682
Vsx2,97.244392,95.92493655,96.93357789
Adrb2,913.5710429,1291.824768,808.9403666
Bcat1,95.69151326,91.44820952,90.77307756
Slc5a12,78.56121341,78.42032651,76.70890035
Nfat5,95.688383,96.43443944,93.9409703
Serpina6,90.59463015,90.49582685,89.75018787
Nqo2,762.2730019,629.6057011,511.2045122
Aif1,23804.47507,22555.85203,16838.03838
Olr30,63.38459585,67.82843843,66.08086717
Dpp6,70.52944687,69.34426519,67.55910233
Akap6,66.03473349,68.15100216,72.71857948
Cyp8b1,109.7435865,106.0377051,105.6879225
Tshb,79.88912109,74.1070731,73.51551933
F2,74.72001212,72.8463189,81.98420056
Hint3,1954.710387,1649.172693,1605.992076
0,201.795796,239.9934468,216.0658478
0,100.7481199,87.54091761,93.09555186
0,83.40096812,81.05912691,76.34095578
Tmem9b,1623.614059,2062.363322,2486.595068
Ric8a,957.8663403,954.9942377,1109.038777
Abhd17b,804.9186878,1025.355143,1130.488213
Krt82,75.65811294,75.64861236,79.69287245
0,67.33369326,68.94790376,70.47130199
0,146.4064708,141.1432322,122.1621209
Mgst2,2648.978857,495.1239914,319.4663823
Cers2,2629.282537,2850.232121,3821.965143
0,430.6013426,316.5959649,272.6493317
Camsap1,105.6422011,111.5007118,115.4402479
0,79.90052232,74.29914942,80.86178389
0,79.07779883,79.16101353,80.08484723
0,66.41903363,68.99314954,65.53648159
0,69.18153279,69.84753696,70.95880313
Fmc1,1311.428539,1681.389665,1854.253757
0,78.81898063,82.14833947,81.28671728
0,70.62597978,69.6652,67.81148158
0,101.2286842,73.97534934,76.11943546
0,74.85876433,74.61689954,78.96171505
Zbtb5,89.49974347,93.44005616,96.29051358
0,72.25470856,72.20718113,65.46132868
Ppp1r8,120.3018041,125.5932868,133.5225403
Nova1,402.1853201,409.8251147,499.2749612
0,62.17728572,66.65368236,62.72479917
Actr6,497.2595324,470.7982895,520.2514205
0,61.33612719,59.48175388,63.55663993
Dennd6b,115.0519023,132.2607125,134.1338755
Swsap1,85.61656631,91.59629476,79.3774071
Coro2b,70.77540723,77.42921666,77.94763054
Cish,72.31358916,75.53637486,71.786098
Ptk7,78.66003702,68.0911333,73.05531123
Matn1,119.3153444,109.0867479,106.4542778
0,128.0334554,119.0187318,132.396748
0,78.92762155,83.3165916,81.95893746
Prss33,63.08027563,65.44635686,62.43100903
0,70.70759912,75.28624197,72.99320347
0,72.56785736,73.52041295,69.91840832
0,2298.696901,1879.397847,1748.232844
0,60.57365383,57.70805065,59.96475028
0,70.44446627,72.75980463,68.70749783
0,70.98330335,76.67366393,73.59473456
0,64.53756858,66.75205222,67.81408047
0,72.59642415,71.385364,74.39628736
Lrrc8b,71.68483784,73.52574362,70.5730515
0,78.71889173,71.78180143,72.53013456
0,894.6215202,733.3552838,665.4988771
0,71.33701084,77.54148921,73.82058998
0,3251.519912,2783.504937,4109.988963
Rnf170,151.8277456,134.0044257,122.780797
Faf2,617.9019212,636.6359848,689.8441481
0,85.59498817,89.83064729,83.22686334
0,73.73113103,65.81940663,75.27348309
Orc6,447.9416726,427.5784023,305.5283425
Tcf25,253.8272284,293.6775838,352.2062121
0,76.08357908,93.00257101,107.7461367
Fam216a,1673.025685,2030.843342,1962.504003
0,72.74693252,71.67015702,66.64824756
0,7825.259395,7239.202738,9393.983526
Pou1f1,66.61887837,63.37614757,65.21122338
Ercc6l,119.5005518,110.5924008,81.45443728
0,58.51146962,62.10918332,64.37410785
Cdc42ep2,123.9763263,299.2037872,683.6038002
St8sia1,70.34521895,68.32244512,66.41491177
Ndufa5,1833.518618,1957.899959,1974.269083
Klrh1,66.76546726,61.96321289,64.41296464
Olr57,64.81653699,66.4212506,62.20550376
Olr227,93.47347526,93.28541778,94.30477613
Olr417,70.73595832,71.40470276,73.72657493
Olr1499,67.28469895,69.94098494,68.20239453
Kremen1,70.50093668,80.86148263,80.97114886
Olr1398,60.98908564,55.99489044,64.01461109
Olr461,58.01953384,60.50776092,64.58565957
Olr1395,71.77341413,75.51341444,69.85877923
Cacna2d3,106.3368799,104.375055,106.787597
Olr1148,92.30508542,92.88264516,88.6934307
Aacs,258.4783069,319.8551931,492.9579758
Slc7a2,83.28565555,72.42498601,76.55858124
Grin2c,100.8137063,104.232676,165.9253518
Sgta,2467.010262,2878.992925,4440.254444
Svs1,77.01174075,72.15908457,71.65357723
Fabp7,9019.896853,20007.80764,19214.96504
Ube2b,60.16839315,62.82463198,65.08433475
0,1400.06629,1371.698679,1067.022255
Zfp865,91.62841553,98.40206475,84.9736438
Mrps12,3364.050621,3419.905122,3417.113284
0,74.46636537,68.62619561,67.92906695
Nrip3,82.51903837,80.42067024,83.46649459
Psmd13,664.7152306,634.4197889,573.1128019
Osmr,72.83600835,71.1138952,77.0345763
Vom1r109,71.71665793,66.78925753,68.09077541
Tmem2,85.6749456,85.88243317,84.22262839
0,53.05266149,54.42370729,59.87894719
0,96.84030781,97.03249934,92.36464008
0,151.034522,213.1626211,217.6805623
0,1092.305496,1167.948078,1267.082255
0,67.20561716,64.64755003,67.96127911
0,2235.520362,2061.35683,1562.060437
Ctdspl2,77.31860914,71.00802226,71.59927927
0,75.49498132,76.78890925,83.12597327
Sqrdl,71.14888354,68.95868837,69.10053036
0,63.51789492,63.69377266,62.00376065
Luc7l2,195.4811102,189.1236945,190.752699
0,66.90934562,67.53901486,68.67355504
0,59.95459011,57.64244981,62.37770207
0,62.04693412,59.21735672,58.56909265
Polr1e,300.5405619,288.0628628,238.1991421
0,92.08317049,90.34969765,87.37781354
Themis2,99.65958911,94.45678165,77.63000104
0,61.76253996,63.19861511,58.79252986
0,65.09961092,59.21900451,62.70105087
0,92.9337385,95.60303444,93.00365744
0,66.18859801,71.6348929,69.67846943
Trmt12,215.7141135,215.8129606,194.5667421
0,73.92600414,74.07984582,75.17822539
Itga11,82.23076146,76.68367918,72.28912996
Hemk1,103.2939873,104.6489131,95.48877731
Srf,887.4739179,844.6498602,939.9560511
Bcap29,1817.006345,1393.056923,1113.850346
Vwc2l,70.80489668,70.64660833,75.64858142
Prss32,63.58211876,65.11310251,69.45381689
Tnip1,2413.844864,1987.963181,2279.802396
Tbx2,78.81311029,96.99864585,90.99033393
Lyzl6,78.44246812,83.78444259,83.18038855
0,1542.255481,932.564919,1046.000673
Plcxd2,67.92085068,61.9505923,65.65079834
0,67.08111824,63.79071105,66.06576179
Gbas,125.4477588,116.161885,119.7059702
0,69.79467151,73.8107479,75.24506522
0,78.94713343,84.6356023,82.03360131
0,93.06760478,88.90180666,97.20231439
Abcg3l2,522.1607074,481.4471414,387.8695123
Limch1,112.7449171,117.5756256,121.7922172
Mphosph8,770.8846453,787.4995461,833.4518387
0,11105.6958,11345.60169,10727.43174
Egr3,75.38532356,69.39124199,69.22720695
Mup4,68.1670182,67.67720243,70.03790674
0,74.21483113,72.30762269,69.6824263
0,87.36841365,85.17738541,93.04824947
0,1666.41791,2143.535769,2642.665981
0,115.2823091,114.2188705,102.8093553
0,72.47164324,68.3655667,70.61750777
Spata24,126.4940027,143.7198617,140.7824954
Hnrnpa1,802.5497166,763.5861496,601.7320101
Vps35,3033.755279,2425.188427,2351.106641
0,69.30694609,68.81619207,69.82945744
0,65.37396437,65.19516791,75.57148015
0,81.15517829,79.01640443,76.50883421
Wwc3,95.27494654,94.22465462,94.04881064
0,63.57620834,64.95758557,64.52475294
Tmem97,2118.446918,2314.371891,1788.558434
0,103.8652584,96.57891269,83.83741239
Gjd2,58.6629122,61.4323682,59.70403166
Rundc3a,176.4055806,155.9478444,213.0626029
Hnrnpr,86.3787746,86.72679465,88.25937352
Wdr12,352.9091781,302.6078741,269.7730103
Thy1,98.08774101,83.00948406,92.64466949
Olr229,59.36444842,58.86056418,60.88031144
Olr1096,69.99044921,70.84563615,74.92874362
Olr361,68.92525453,65.9932149,64.24061726
Deaf1,205.0157223,248.8867871,293.5713829
Olr241,63.53370707,68.2713993,63.96606943
Olr176,59.43446099,58.3129788,58.02132191
Giot1,1460.556635,1770.041449,2174.747227
Olr113,71.9626679,71.31635413,70.37730836
Olr1249,69.07667848,71.88149367,66.89542713
Olr636,63.32666378,59.50205411,63.11196933
Uxs1,2138.419363,2212.973741,1644.448214
Orm1,84.4638744,81.27166161,78.57499191
Pcyt2,345.1263531,439.2424918,790.5086445
Nr0b2,88.22364295,92.81393174,86.93452009
Crk,93.89224757,90.16356417,80.20963998
Slc1a4,77.06963366,75.29779929,77.53945333
Slc4a10,75.43105533,75.07620695,79.60034707
Agtr1b,72.38269113,77.09773344,69.53024969
0,80.00067245,85.05697117,84.74583657
Zfp524,1037.014704,1027.334114,1103.122019
Sars2,86.20510957,92.71374571,83.49371909
0,63.35930091,64.09388917,63.2991393
0,65.0909071,58.18414301,60.76156637
0,79.92077512,77.66030639,77.9754605
Maml3,82.18639141,68.60565038,74.68156519
0,120.7974982,119.8530061,124.1938042
0,62.03350812,63.99318723,61.53908661
Nacc2,230.4429199,225.0157923,305.2060789
0,417.6981081,251.4664237,427.5140189
0,1606.009392,1547.552568,1723.389954
0,71.30567264,65.64485271,69.22955136
Clec2l,706.344706,1604.62111,725.8121435
0,79.34578175,81.59697647,79.18305905
0,85.28020617,84.13427943,79.15409932
0,61.88514103,62.39404449,62.287833
Tmem248,3547.948968,4283.77485,3186.802365
0,66.95597922,66.18599539,67.75035541
0,68.4608508,69.86839008,68.15571373
Fbxo10,74.43021801,81.89485599,82.14300606
0,63.36468195,61.70737544,61.43816452
0,145.0771961,136.6956657,138.1601161
0,61.02122844,64.29683832,63.71599576
Adck1,79.37268966,80.50819339,75.51550531
0,65.03330964,70.15355908,65.77746042
0,23596.93825,23627.69481,22050.78943
0,58.06725566,60.97449641,61.22155721
Ppp6r2,193.3061443,190.4657782,178.8910206
0,62.8074915,66.24050303,64.21110701
Fem1b,473.9845013,327.8974485,282.589296
0,294.0174398,329.0700816,395.5742323
Abca12,73.67958127,67.11156467,65.46884733
Rab17,77.06565017,79.23701014,80.32398852
0,65.95215177,68.20861716,69.9499846
0,145.6430429,130.6363443,131.8753645
